"","character","score"
"1","!",0
"2","""",1
"3","#",2
"4","$",3
"5","%",4
"6","&",5
"7","'",6
"8","(",7
"9",")",8
"10","*",9
"11","+",10
"12",",",11
"13","-",12
"14",".",13
"15","/",14
"16","0",15
"17","1",16
"18","2",17
"19","3",18
"20","4",19
"21","5",20
"22","6",21
"23","7",22
"24","8",23
"25","9",24
"26",":",25
"27",";",26
"28","<",27
"29","=",28
"30",">",29
"31","?",30
"32","@",31
"33","A",32
"34","B",33
"35","C",34
"36","D",35
"37","E",36
"38","F",37
"39","G",38
"40","H",39
"41","I",40
"42","J",41
"43","K",42
"44","L",43
"45","M",44
"46","N",45
"47","O",46
"48","P",47
"49","Q",48
"50","R",49
"51","S",50
"52","T",51
"53","U",52
"54","V",53
"55","W",54
"56","X",55
"57","Y",56
"58","Z",57
"59","[",58
"60","\",59
"61","]",60
"62","^",61
"63","_",62
"64","`",63
"65","a",64
"66","b",65
"67","c",66
"68","d",67
"69","e",68
"70","f",69
"71","g",70
"72","h",71
"73","i",72
"74","j",73
"75","k",74
"76","l",75
"77","m",76
"78","n",77
"79","o",78
"80","p",79
"81","q",80
"82","r",81
"83","s",82
"84","t",83
"85","u",84
"86","v",85
"87","w",86
"88","x",87
"89","y",88
"90","z",89
"91","{",90
"92","|",91
"93","}",92
"94","~",93
